xls_row_id,country,region,region_code,disposable_income_pc,employment_rate,unemployment_rate,homicide_rate,life_expectancy,secondary_education_pct,rooms_per_capita,mortality_rate,voter_turnout_pct,broadband_access_pct,air_quality_pm25,life_satisfaction_index,housing_affordability_pct,internet_speed_deviation,social_network_support_index,country_iso3,north_south
334,Spain,Madrid,ES30,31879.0,73.7,9.5,0.3,85.4,74.2,1.9,6.5,69.7,98.0,10.0,6.4,36.1,36.7,92.9,ESP,Other
335,Spain,Castile and Leon,ES41,26347.4,67.7,9.4,0.5,84.5,65.6,2.3,7.2,69.4,95.4,5.9,6.5,49.5,22.6,94.5,ESP,Other
336,Spain,Castile-La Mancha,ES42,23183.7,63.1,10.1,0.6,83.8,54.9,2.1,7.8,73.0,96.0,7.0,6.2,45.4,22.9,88.1,ESP,Other
337,Spain,Extremadura,ES43,21599.7,54.3,13.5,0.7,83.1,54.1,2.2,8.2,71.7,95.0,6.3,5.8,44.7,9.8,92.9,ESP,Other
338,Spain,Catalonia,ES51,28583.1,66.0,9.0,0.9,84.0,68.2,1.9,7.5,62.7,97.7,12.2,6.6,39.3,16.1,94.5,ESP,Other
339,Spain,Valencia,ES52,23063.8,69.4,11.3,1.1,83.1,60.7,2.0,7.8,71.5,97.8,9.4,6.7,47.6,0.6,94.5,ESP,Other
340,Spain,Balearic Islands,ES53,26908.8,64.7,8.2,0.6,83.7,61.1,1.8,7.7,61.3,97.7,11.5,6.8,26.6,-9.5,98.6,ESP,Other
341,Spain,Andalusia,ES61,21391.7,64.8,19.3,0.9,82.5,58.0,1.9,8.4,66.4,96.3,8.2,6.4,43.2,3.7,91.2,ESP,Other
342,Spain,Murcia,ES62,22631.1,68.2,14.3,0.9,82.8,54.2,1.9,8.2,68.7,97.2,9.1,6.8,42.8,-2.3,97.5,ESP,Other
345,Spain,Canary Islands,ES70,21869.3,62.3,15.4,0.6,82.5,62.3,1.6,8.2,58.2,96.8,13.7,6.2,46.7,-22.0,89.8,ESP,Other
387,United Kingdom,North East England,UKC,26722.4,69.0,3.8,1.1,79.2,75.6,1.9,10.2,57.3,99.8,8.4,7.0,55.4,-1.2,89.3,GBR,North
388,United Kingdom,North West England,UKD,28817.3,75.8,4.0,1.0,79.2,79.9,1.8,10.0,57.4,99.9,8.9,6.9,48.6,-8.5,92.1,GBR,North
389,United Kingdom,Yorkshire and The Humber,UKE,28126.6,77.4,3.2,1.0,79.9,78.2,1.8,9.6,56.3,99.8,8.8,6.6,52.0,-8.4,87.5,GBR,North
390,United Kingdom,East Midlands,UKF,28967.9,79.3,4.8,1.2,80.5,80.1,1.9,9.3,61.3,99.8,9.0,6.8,47.3,-8.4,85.4,GBR,South
391,United Kingdom,West Midlands,UKG,28279.0,74.0,4.5,1.1,80.0,80.0,1.8,9.3,57.8,99.9,8.8,6.9,43.7,-9.2,89.3,GBR,South
392,United Kingdom,East of England,UKH,34421.4,73.7,2.8,0.6,81.6,83.4,1.9,8.5,62.5,99.9,10.1,6.9,40.9,-13.7,90.3,GBR,South
393,United Kingdom,Greater London,UKI,47301.7,80.4,5.2,1.2,81.3,88.7,1.6,8.2,59.4,100.0,10.9,6.9,38.8,5.7,88.8,GBR,South
394,United Kingdom,South East England,UKJ,37705.2,80.9,3.4,0.6,82.0,85.2,1.8,8.3,65.2,99.9,10.2,6.9,45.1,-10.0,90.5,GBR,South
395,United Kingdom,South West England,UKK,33245.8,80.5,3.3,0.9,81.9,84.9,1.7,8.6,65.5,99.8,9.3,6.7,48.1,-22.1,88.0,GBR,South
396,United Kingdom,Wales,UKL,26940.0,72.8,2.8,0.9,79.9,79.4,2.0,9.7,56.8,99.6,9.0,6.7,47.2,-23.5,88.5,GBR,North
397,United Kingdom,Scotland,UKM,30643.4,71.8,3.3,0.9,79.3,80.2,1.9,10.6,59.8,99.5,7.2,6.9,48.7,-16.4,88.9,GBR,North
398,United Kingdom,Northern Ireland,UKN,27291.9,70.3,2.2,0.5,80.4,78.7,2.1,9.1,57.5,99.6,7.4,6.9,52.8,-8.4,90.7,GBR,North
